1   ,Anika     ,Brown      ,2,Arts and Sciences BASc                                                    ,"Student Action for Refugees Society, Sudanese Society, Hockey Club (Men's)"                                        ,Study    ,Conferences and Room Bookings 1-19 Torrington Place                ,0
2   ,Tia       ,Holmes     ,4,Natural Sciences BSc                                                      ,"Bulgarian Society, Pi Media"                                                                                       ,Food     ,Global Engagement Office (GEO) 50 Gordon Square                    ,0
3   ,Marley    ,Dickerson  ,4,Management Science MSci                                                   ,Crime and Security Science Society                                                                                  ,Study    ,Psychology (Clinical Health) 1-19 Torrington Place                 ,1
4   ,Shyanne   ,Jarvis     ,4,Medical Physics MSci                                                      ,"Edukeeners Society, upReach Social Mobility Society"                                                               ,Study    ,Alumni and Fundraising Bidborough House                            ,0
5   ,Hector    ,Bell       ,3,Biochemistry MSci                                                         ,Greenough Society                                                                                                   ,Food     ,"Laryngology & Otology, Institute of 330-332 Gray’s Inn Road"      ,1
6   ,Kiara     ,Rosario    ,1,Ancient Languages with a Year Abroad BA                                   ,"Badminton Club (RUMS), Squash Club, Poker Society"                                                                 ,Food     ,Cruciform Building LT1/LT2 Cruciform                               ,0
7   ,Karly     ,Vasquez    ,4,"History of Art, Materials and Technology BA"                             ,"First Generation Society , Bartlett School of Architecture Society"                                                ,Socialize,Material Research Centre Kathleen Lonsdale                         ,1
8   ,Malia     ,May        ,4,Project Management for Construction (Sandwich) BSc                        ,"Colombian Society, Judo Club, Pokémon Society"                                                                     ,Food     ,Dutch Foster Court                                                 ,0
9   ,Rihanna   ,Boone      ,3,Mathematics BSc                                                           ,Sri Lankan Society                                                                                                  ,Socialize,Institute of Child Health Library 30 Guilford Street               ,1
10  ,Rylie     ,Owens      ,3,Professional Policing BSc                                                 ,"Hiking Club, Greenough Society, Basketball Club (Men's)"                                                           ,Study    ,Gordon Square 105/107 24/25 Gordon Square                          ,0
11  ,Dwayne    ,Mcpherson  ,1,"Philosophy, Politics and Economics BSc"                                  ,Dementia Research Society                                                                                           ,Socialize,Psychology (Clinical Health) 1-19 Torrington Place                 ,1
12  ,Isabel    ,Cantu      ,4,Scandinavian Studies with Management Studies BA                           ,Indonesian Society                                                                                                  ,Food     ,Classical World Centre Gordon House                                ,0
13  ,Abdiel    ,Allison    ,3,Statistical Science (International Programme) MSci                        ,"Cancer Charities Alliance Society, Live Music Society, 93% Club Society"                                           ,Socialize,Darwin LT Darwin                                                   ,0
14  ,Angela    ,Cherry     ,3,Media BA                                                                  ,                                                                                                                    ,Food     ,"Making, Institute of (Engineering) Malet Place Eng"               ,1
15  ,Gillian   ,Terrell    ,3,Pharmacology MSci                                                         ,                                                                                                                    ,Study    ,of Neurological Studies 1 Wakefield Street                         ,0
16  ,Adison    ,Rivas      ,2,"Politics, Sociology and East European Studies with a Year Abroad BA"     ,                                                                                                                    ,Study    ,Digital Humanities Foster Court                                    ,0
17  ,Micah     ,Gardner    ,3,Electronic and Electrical Engineering MEng                                ,                                                                                                                    ,Food     ,Alumni and Fundraising Bidborough House                            ,0
18  ,Randy     ,Merritt    ,2,Mathematics with Economics MSci                                           ,Conservative Society                                                                                                ,Study    ,Social & Historical Sci. Faculty Office Andrew Huxley              ,0
19  ,Lyric     ,Barrett    ,3,Psychology with Education BSc                                             ,"Tennis Club (RUMS), Marxist Society, Genetics Society"                                                             ,Food     ,Egypt Exploration Society 30 Doughty Mews                          ,1
20  ,Diya      ,Washington ,1,Security and Crime Science BSc                                            ,                                                                                                                    ,Socialize,Main Quad Pop-up Main Quad                                         ,0
21  ,Kamden    ,Rivera     ,3,Applied Medical Sciences BSc                                              ,The Female Lead Society                                                                                             ,Food     ,Communications & Marketing Bidborough House                        ,1
22  ,Edwin     ,Gould      ,1,History BA                                                                ,"Chinese Business Innovation Society , Biopharmaceutical Society, Mental Health Society"                            ,Study    ,Lost Property see Customer Ser                                     ,1
23  ,Liam      ,Horton     ,2,Chemical Engineering MEng                                                 ,                                                                                                                    ,Study    ,Provost’s Office South Cloisters                                   ,0
24  ,Nathanael ,Anderson   ,2,Archaeology and Anthropology BA                                           ,"Immunology Society, Lebanese Society"                                                                              ,Food     ,Connaught Hall Tavistock Square                                    ,0
25  ,Tamara    ,Lucero     ,1,Economics BSc (Econ)                                                      ,"Wilderness Medicine Society, Baseball Club"                                                                        ,Food     ,Hillel LT Bentham House                                            ,1
26  ,Joey      ,Steele     ,2,Project Management for Construction (Sandwich) BSc                        ,Calisthenics Club                                                                                                   ,Study    ,Human Resources (HR) Bidborough House                              ,0
27  ,Myah      ,Carey      ,4,"Philosophy, Politics and Economics BSc"                                  ,"Friends of Médecins sans Frontières Society, Behavioural Innovations Society, Floorball Club"                      ,Study    ,"Auditory Research, Centre for 332 Gray’s Inn Road"                ,0
28  ,Denzel    ,Haley      ,1,Chemical Engineering BEng                                                 ,"Kazakh Society, Saudi Society"                                                                                     ,Study    ,Logan Hall LT Institute of Education                               ,0
29  ,Kyleigh   ,Rowe       ,1,Linguistics (International Programme) BA                                  ,                                                                                                                    ,Food     ,Finance Division Bidborough House                                  ,1
30  ,Caiden    ,Douglas    ,1,Geophysics BSc                                                            ,                                                                                                                    ,Study    ,Gustave Tuck LT South Wing (Wilkins)                               ,1
31  ,Michelle  ,French     ,2,Medical Innovation and Enterprise MSci                                    ,                                                                                                                    ,Study    ,Student Residences Office 117 Gower Street                         ,0
32  ,Terrance  ,Pacheco    ,2,Scandinavian Studies and History of Art BA                                ,"Tennis Club, Book Club"                                                                                            ,Study    ,"Ophthalmology, Institute of 11-43 Bath Street, EC1"               ,0
33  ,Kenya     ,Huff       ,1,History and Philosophy of Science with Study Abroad BSc                   ,                                                                                                                    ,Socialize,Egypt Exploration Society 30 Doughty Mews                          ,0
34  ,Genesis   ,Mercer     ,4,Geography BSc                                                             ,"Badminton Club, Thai Society, Badminton Club"                                                                      ,Socialize,UCL Art Museum Wilkins (South)                                     ,0
35  ,Aurora    ,Cantu      ,3,Neuroscience MSci                                                         ,                                                                                                                    ,Socialize,Primary Care & Population Science Hampstead Cam                    ,1
36  ,Ahmed     ,Osborn     ,2,Civil Engineering MEng                                                    ,"Jitsu Club, Blockchain Labs Society"                                                                               ,Study    ,Language & Speech Science Library Chandler House                   ,0
37  ,Alec      ,Weiss      ,3,Mathematics and Physics MSci                                              ,Rugby Club (RUMS Men's)                                                                                             ,Socialize,French Foster Court                                                ,0
38  ,Odin      ,Cain       ,4,Information Management for Business BSc                                   ,                                                                                                                    ,Food     ,"Americas, Institute of 50-51 Gordon Square"                       ,0
39  ,Carolyn   ,Garrison   ,2,Statistics and Management for Business BSc                                ,                                                                                                                    ,Socialize,Bernard Johnson Hse (East Finchley) 78 Fortis Gr                   ,1
40  ,Beatrice  ,Randall    ,4,Physics MSci                                                              ,"Ice Club, Japan Society"                                                                                           ,Food     ,Graduate School Common Room South Wing basement                    ,0
41  ,Drake     ,Rios       ,1,Scandinavian Studies and History of Art BA                                ,"Volleyball Club, Eurasian Business Society, Philosophy Society "                                                   ,Study    ,Women’s Health 1 Medical School                                    ,0
42  ,Delaney   ,Eaton      ,3,Philosophy and Greek BA                                                   ,Catholic Society                                                                                                    ,Study    ,Built Environment Faculty Office 122 Gordon Street                 ,0
43  ,Asher     ,Berg       ,2,Population Health BSc                                                     ,                                                                                                                    ,Study    ,Languages & International Education 26 Bedford Way                 ,1
44  ,Katherine ,Wise       ,4,Mathematics with Modern Languages MSci                                    ,Snooker and Pool Club                                                                                               ,Food     ,"Political Science The Rubin Building, 29 & 31 Tavistock Sq."      ,0
45  ,Simone    ,Stanley    ,2,Scandinavian Studies and Latin BA                                         ,                                                                                                                    ,Socialize,Languages & International Education 26 Bedford Way                 ,1
46  ,Arjun     ,Olson      ,4,Sociology and Politics of Science BSc                                     ,Filipino Society                                                                                                    ,Socialize,European Research & Innovation Maple House                         ,1
47  ,Mekhi     ,English    ,1,Astrophysics BSc                                                          ,"Electronic Music Society, Technology Society"                                                                      ,Food     ,Paediatrics and Child Health Rayne                                 ,0
48  ,Delilah   ,English    ,2,Geology BSc                                                               ,"Punjabi Society, Hungarian Society, Art Business Society"                                                          ,Socialize,Student Records Student Centre                                     ,1
49  ,Mckenzie  ,Holmes     ,1,Chemical Engineering BEng                                                 ,Mindful Society                                                                                                     ,Socialize,"Lower Refectory, The Wilkins"                                     ,1
50  ,Prince    ,Powell     ,2,Geology MSci                                                              ,European Law Students' Association                                                                                  ,Study    ,UCLIC Malet Place Eng                                              ,1
51  ,Madyson   ,Murray     ,2,Archaeology BA                                                            ,                                                                                                                    ,Study    ,Greek and Latin Gordon House                                       ,1
52  ,Greta     ,Ray        ,2,Archaeology and Anthropology BA                                           ,"Rare FM, Cheerleading Club, Amnesty International Society"                                                         ,Socialize,Cruciform Library Cruciform                                        ,1
53  ,Van       ,Joyce      ,4,Geophysics MSci                                                           ,"Boat Club, East African Society"                                                                                   ,Socialize,Digital Media (ISD) - Multimedia Charles Bell House                ,1
54  ,Zachery   ,Wyatt      ,1,Chemistry with Management Studies BSc                                     ,"History of Art Society , Arts and Sciences Society"                                                                ,Socialize,Physics A1/3 Physics                                               ,0
55  ,Princess  ,Richard    ,2,Law LLB                                                                   ,                                                                                                                    ,Socialize,Egypt Exploration Society 30 Doughty Mews                          ,1
56  ,Elliot    ,Beltran    ,1,Philosophy BA                                                             ,                                                                                                                    ,Study    ,Space and Climate Physics 3-4 Taviton Street                       ,1
57  ,Madeline  ,Morse      ,3,Viking and Old Norse Studies BA                                           ,                                                                                                                    ,Study    ,Photography & Design Cruciform                                     ,1
58  ,Chad      ,Mccullough ,3,Archaeology with a Year Abroad BA                                         ,"Female Forces in Fashion Business Society, Golf Club"                                                              ,Food     ,Graduate School Common Room South Wing basement                    ,1
59  ,Ezequiel  ,Jensen     ,4,Mathematics with Management Studies BSc                                   ,"IDEA Society, Asiatic Affairs Society, History of Art Society "                                                    ,Socialize,Campbell House (East) 5-10 Taviton Street                          ,0
60  ,Jayvon    ,Tyler      ,2,Neuroscience MSci                                                         ,Poker Society                                                                                                       ,Study    ,Gene Therapy 51 Chenies Mews                                       ,0
61  ,Geovanni  ,Daniels    ,2,Sociology BSc                                                             ,"History of Art Society , Rugby Club (RUMS Men's), Bhangra Society"                                                 ,Food     ,"Urology and Nephrology, Institute of Medical School"              ,1
62  ,Simon     ,Molina     ,4,Statistical Science (International Programme) MSci                        ,"MODO Fashion Society, Sikh Society"                                                                                ,Socialize,Pharmacology LT Medical Sciences                                   ,1
63  ,Alex      ,Mcneil     ,4,Architectural and Interdisciplinary Studies with a Year Abroad BSc        ,                                                                                                                    ,Socialize,Gustave Tuck LT South Wing (Wilkins)                               ,1
64  ,Abram     ,Golden     ,1,Geography BSc                                                             ,"Golf Club, Baking Society"                                                                                         ,Socialize,"Pharmacy, School of 29-39 Brunswick Sq."                          ,1
65  ,Kadence   ,Durham     ,2,Psychology with Education BSc                                             ,                                                                                                                    ,Food     ,Henry Morley                                                       ,1
66  ,Sullivan  ,Clark      ,3,Classical Archaeology and Classical Civilisation BA                       ,"Volunteering Society, Dementia Research Society, Hiking Club"                                                      ,Food     ,Management Science & Innovation Engineering Front Bldg             ,1
67  ,Nathalie  ,Beasley    ,1,Neuroscience MSci                                                         ,Football Club (RUMS Women's)                                                                                        ,Food     ,Mechanical Engineering Malet Place Eng                             ,1
68  ,Ivy       ,Gallagher  ,2,Human Sciences BSc                                                        ,"Animal Rights Society, Medical Physics and Biomedical Engineering Society "                                        ,Food     ,Harrie Massey LT 25 Gordon Street                                  ,0
69  ,Hayden    ,Hubbard    ,1,Bioprocessing of New Medicines (Science and Engineering) BSc              ,"Music Society, Sudanese Society"                                                                                   ,Socialize,Advancement (Development) OVPA Bidborough House                    ,1
70  ,Roland    ,Malone     ,2,Education Studies BA                                                      ,"Hanfu Society, Netball Club"                                                                                       ,Food     ,Management Science & Innovation Engineering Front Bldg             ,0
71  ,Alissa    ,Nixon      ,2,Geography BA                                                              ,Football Club (Men's)                                                                                               ,Study    ,"Auditory Research, Centre for 332 Gray’s Inn Road"                ,0
72  ,Yair      ,Wilkerson  ,2,Astrophysics MSci                                                         ,                                                                                                                    ,Food     ,Electronic and Electrical Eng 1 Roberts Building                   ,0
73  ,Xavier    ,Bryan      ,4,Chemistry with Management Studies BSc                                     ,"Hockey Club (RUMS Women's), Book Club, European Law Students' Association"                                         ,Study    ,Front Lodge Main Entrance                                          ,1
74  ,Jeffrey   ,Yu         ,1,Social Sciences BSc                                                       ,"Law for All Society, Animal Rights Society, Kazakh Society"                                                        ,Food     ,Octagon Wilkins                                                    ,0
75  ,Helena    ,Glenn      ,2,Ancient World with a Year Abroad BA                                       ,"Brewers and Vintners Society, Korean Culture Society, Muay Thai Club"                                              ,Study    ,"Ophthalmology, Institute of 11-43 Bath Street, EC1"               ,0
76  ,Zaid      ,Hubbard    ,4,Scandinavian Studies and History of Art BA                                ,                                                                                                                    ,Food     ,MRC MRC                                                            ,0
77  ,Chandler  ,Reeves     ,4,Biomedical Engineering BEng                                               ,                                                                                                                    ,Food     ,"Nanotechnology, London Centre for Nanotechnology"                 ,1
78  ,Semaj     ,Vance      ,2,Engineering and Architectural Design MEng                                 ,Azerbaijan Society                                                                                                  ,Socialize,CHIME (Inst. of Health Informatics) 222 Euston Road                ,0
79  ,Cali      ,Berry      ,4,Scandinavian Studies with Film Studies BA                                 ,"Parkour Club, 180 Degrees Consulting Society"                                                                      ,Food     ,"Hepatology, Institute of 69-75 Chenies Mews"                      ,0
80  ,Cora      ,Armstrong  ,4,"History of Art, Materials and Technology BA"                             ,Jain Society                                                                                                        ,Food     ,Infectious Disease Epidemiology Mortimer Market Centre             ,0
81  ,Javion    ,Leblanc    ,1,History with a Year Abroad BA                                             ,"Snooker and Pool Club, Tennis Club (RUMS), Musical Theatre Society"                                                ,Socialize,School of Pharmacy Library 29-39 Brunswick Sq.                     ,1
82  ,Jadiel    ,Love       ,3,Medical Physics MSci                                                      ,"Era Journal, Rugby Club (Women's)"                                                                                 ,Study    ,Darwin Biochemistry LT Darwin                                      ,0
83  ,Itzel     ,Everett    ,2,Statistical Science (International Programme) MSci                        ,Russian Society                                                                                                     ,Socialize,Biosciences Rockefeller                                            ,1
84  ,Lillianna ,Morse      ,4,Project Management for Construction BSc                                   ,                                                                                                                    ,Socialize,Royal Asiatic Society Stephenson Way                               ,1
85  ,Mark      ,Obrien     ,2,Global Humanitarian Studies BSc                                           ,"Dutch and Flemish Society, Society for Global Prosperity, Jitsu Club"                                              ,Study    ,Medical Physics & Bioengineering Malet Place Eng                   ,1
86  ,Carsen    ,Benton     ,4,Urban Planning and Real Estate BSc                                        ,Cypriot and Hellenic Society                                                                                        ,Food     ,Scandinavian Studies 17 Gordon Square                              ,0
87  ,Cohen     ,Conley     ,2,Philosophy BA                                                             ,Tharsos Society                                                                                                     ,Study    ,Main Quad Pop-up Main Quad                                         ,0
88  ,Nevaeh    ,Rodriguez  ,2,Social Sciences with Data Science BSc                                     ,Subtext Society                                                                                                     ,Socialize,NPP 3 Rockefeller                                                  ,0
89  ,Albert    ,Oconnor    ,4,Politics and International Relations BSc                                  ,                                                                                                                    ,Socialize,"Urology and Nephrology, Institute of Medical School"              ,1
90  ,Avah      ,Nunez      ,3,History and Philosophy of Science with Study Abroad BSc                   ,"Data Science Society, Knitting Society, MedTech Society"                                                           ,Study    ,Support Services (LTSS) Cruciform (basement)                       ,0
91  ,Abagail   ,Vaughn     ,3,Fine Art BFA                                                              ,Medieval Society                                                                                                    ,Food     ,"Americas, Institute of 50-51 Gordon Square"                       ,1
92  ,Sherlyn   ,Brady      ,1,Mathematics and Physics BSc                                               ,"Pokémon Society, United Nations Association, Urban Miscellanea Society"                                            ,Food     ,Geological Collections (Rock Room) South Wing                      ,0
93  ,Jaden     ,Cross      ,1,Architecture BSc                                                          ,"Student Action for Refugees Society, Language, Inequality and Politics Society"                                    ,Study    ,"DCAL-Deafness, Cognitio"                                          ,1
94  ,Jackson   ,Best       ,2,Scandinavian Studies with Film Studies BA                                 ,"Mexican Society, Bar Society, Afghan Society"                                                                      ,Food     ,Haemostatis Research Unit 51 Chenies Mews                          ,1
95  ,Cara      ,Carroll    ,1,History and Politics of the Americas with a Year Abroad BA                ,Skate Club                                                                                                          ,Socialize,"Hepatology, Institute of 69-75 Chenies Mews"                      ,1
96  ,Leonardo  ,Shelton    ,3,Chemistry with Mathematics BSc                                            ,"Water Polo Club, Colombian Society, Dementia Research Society"                                                     ,Socialize,"Making, Institute of (Engineering) Malet Place Eng"               ,1
97  ,Liam      ,Maddox     ,1,Biological Sciences BSc                                                   ,"Jewish Society, Krishna Consciousness Society, Edukeeners Society"                                                 ,Study    ,NPP 3 Rockefeller                                                  ,0
98  ,Daniel    ,Wolf       ,4,Ancient World with a Year Abroad BA                                       ,"Ex-Yugoslav Society, Chinese Business Innovation Society "                                                         ,Study    ,South Wing Garwood LT South Wing                                   ,0
99  ,Byron     ,Howell     ,2,Civil Engineering MEng                                                    ,                                                                                                                    ,Food     ,Anthropology 14 Taviton Street                                     ,1
100 ,Nyla      ,Clarke     ,2,Medical Physics MSci                                                      ,                                                                                                                    ,Socialize,Paediatrics and Child Health Rayne                                 ,0
101 ,Aryan     ,Barajas    ,1,Chemical Engineering BEng                                                 ,Rugby Club (Women's)                                                                                                ,Socialize,Anatomy Gavin de Beer LT Anatomy                                   ,1
102 ,Aryan     ,Willis     ,4,Fine Art BFA                                                              ,"Kendo Club, Singapore Society, Magic Society"                                                                      ,Food     ,"Langton Close Langton Close, WC1"                                 ,0
103 ,Caiden    ,Dougherty  ,2,Psychology BSc                                                            ,                                                                                                                    ,Study    ,Housman Room North Cloisters                                       ,1
104 ,Lara      ,Roach      ,2,Linguistics BA                                                            ,"Subtext Society, Taylor Swift Society , Gulf Society"                                                              ,Socialize,UCL Advances 90 Tottenham Court Rd                                 ,1
105 ,Winston   ,Hutchinson ,2,Neuroscience BSc                                                          ,"STS Lunar Society, Food Society, Japan Society"                                                                    ,Food     ,Communications & Marketing Bidborough House                        ,1
106 ,Roberto   ,Reese      ,2,Classical Archaeology and Classical Civilisation BA                       ,"Surgery and Interventional Science Society , IDEA Society, Yoga and Meditation Club"                               ,Food     ,Haldane Room Wilkins (North)                                       ,1
107 ,Silas     ,Mclean     ,4,Mathematics with Management Studies MSci                                  ,Urban Farmers Society                                                                                               ,Study    ,Information Studies Foster Court                                   ,1
108 ,Taniya    ,Mack       ,1,Chemistry BSc                                                             ,Football Club (RUMS Men's)                                                                                          ,Food     ,"Lower Refectory, The Wilkins"                                     ,0
109 ,Madilyn   ,Hancock    ,4,Mathematics BSc                                                           ,                                                                                                                    ,Socialize,"Hawkridge Warden Road, "                                          ,0
110 ,Matthias  ,Franklin   ,4,Astrophysics MSci                                                         ,"Medieval Society , Life Science Society, Data Visualisation Society"                                               ,Food     ,Safety Services Bidborough House                                   ,0
111 ,Dixie     ,Patton     ,2,Economics BSc (Econ)                                                      ,"Baking Society, Squash Club, 180 Degrees Consulting Society"                                                       ,Study    ,Cancer Institute (Paul O’Gorman) 72 Huntley Street                 ,1
112 ,Devan     ,Zuniga     ,3,Neuroscience MSci                                                         ,                                                                                                                    ,Study    ,"Advanced Legal Studies, Institute for Bedford Way"                ,0
113 ,Angelina  ,Shannon    ,3,Project Management for Construction (Sandwich) BSc                        ,"Friends of Israel Society, Mixed Martial Arts Club, Swiss Society"                                                 ,Study    ,UCL Shop Wilkins (South Wing)                                      ,1
114 ,Josie     ,Harrison   ,3,Medical Physics MSci                                                      ,                                                                                                                    ,Study    ,"Neurology, Queen Square Institute of Queen Square House"          ,0
115 ,Samantha  ,Barajas    ,3,Mathematics and Statistical Science MSci                                  ,                                                                                                                    ,Study    ,"Advanced Legal Studies, Institute for Bedford Way"                ,0
116 ,Alonzo    ,Bartlett   ,4,"Philosophy, Politics and Economics BSc"                                  ,First Generation Society                                                                                            ,Food     ,Mathematical and Physical Sciences Faculty Office (MAPS) South Wing,1
117 ,Ruby      ,David      ,2,Biomedical Sciences BSc                                                   ,                                                                                                                    ,Study    ,Print Room Café South Wing                                         ,1
118 ,Aiyana    ,Weiss      ,2,Crime and Security Science BSc                                            ,                                                                                                                    ,Food     ,UCL Shop Wilkins (South Wing)                                      ,0
119 ,Bruno     ,Cabrera    ,2,Anthropology with a Year Abroad BSc                                       ,                                                                                                                    ,Food     ,Statistical Science 1-19 Torrington Place                          ,1
120 ,Armando   ,Massey     ,1,Mathematics and Statistical Science BSc                                   ,"Jazz Society, Somali Society, Art Business Society"                                                                ,Socialize,"James Lighthill House Penton Rise, WC1"                           ,1
